S.No,Item name,Brand_Name,Category,Sub_Category,Ingredients,Serving_Size_g,Calories_kcal,Carbohydrates_g,Proteins_g,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Sugar_g,Sodium_mg,Dietary_Fiber_g,Cholesterol_mg,Calcium_mg,Vitamin,Iron_mg,Price_INR,Source_of_Data,Collection_Date,Collected_By,Remarks
11,Britannia Treat Jimjam Cream Biscuits,BRITANNIA,BISCUIT,CREAME,"Refined Wheat Flour (Maida), Sugar, Refined Palm Oil, Interesterified Vegetable Fat, Invert Sugar Syrup, Dextrose, Milk Solids, Edible Starch, Maltodextrin, Fruit Products, Iodised Salt, Emulsifiers, Raising Agents, Gelling Agent, Acidity Regulators, Artificial Flavouring Substances Mixed Fruit,Artificial Flavouring Substances  Butter, Artificial Flavouring Substances VANILLA CAKE",100,483,73,5,19,9.5,0,33.5,214,0,0,0,0,0,25,,,,
12,UNIBIC Danish Coconut Cookies,UNIBIC,BISCUIT,COOKIES,"Desiccated Coconut Powder (30%), Edible Vegetable Oil (Palm), Emulsifier INS 322 , Golden Syrup, Iodised Salt, Leavening Agents INS 500 ii, Leavening Agents INS 503 ii, Milk Solids, Refined Wheat Flour (Maida), Sugar",100,532,60.3,6.5,29.4,6.04,0,34.7,260,8,0.5,0,0,0,165,,,,
13,Orion Choco Pie - Chocolate Coated Soft Biscuit,ORION,BISCUIT,PIE,"Ammonium Hydrogen Carbonate (e503ii), Carob Bean Gum (E410), Carrageenan (E407), Cocoa Mass, Cocoa Powder, Dextrose Monohydrate, Glucose Syrup, Hydrolysed Pea Protein, Milk Solids, Monocalcium Orthophosphate (E3411), Non Hydrogenated Vegetable Fat, Pectin (E440), Salt, Sodium Hydrogen Carbonate (e500ii), Soy Lecithins (E3221), Sugar, Vanillin Powder (artificial Flavor),palm Oil, Fully Hydrogenated Coconut Oil, Wheat Flour, Xanthan Gum (E415)",100,437.2,69.8,3.8,15.9,10.8,0.2,40,243.5,0,0,0,0,0,170,,,,
14,Britannia Nutrichoice Oats Cookies Diabetic Friendly,BRITANNIA,BISCUIT,COOKIES,"Almonds (2%), Dough Conditioner (223), Emulsifiers 322 (I), Emulsifiers 471,Emulsifiers 472E, Artificial (VANILLA CAKE) Flavouring Substances, Foxtail Millet Flour (1%), Inulin, Little Millet Flour (1%), Maltodextrin, Milk Solids, Raising Agents 450 (0), Raising Agents 503 (II),Raising Agents 500 (II), Refined Palm Oil, Rolled Oats (7%), Soya Protein Isolate, Sweeteners 965 (I),Sweeteners 955, Vitamins*, Wheat Flour (Atta) (53%), Oats Fibre (1%), Iodised Salt, Minerals*",100,464,68.6,9.4,19,8.5,0,2.1,404,9.2,0,0,0,0,70,,,,
15,Nutrisum Oats Cookies,NUTRISUM,BISCUIT,COOKIES,"Oats Flour, Wheat Flour (Atta), Hydrogenated Vegetable Fat, Fructo Oligosaccharides, Sweeteners INS 965(i), Sweeteners INS 955, Milk Solids, Cocoa Solids, Raising Agents INS 500(ii), Raising Agents INS 503(ii), Salt",100,503.2,56.6,12.2,25.3,12.3,0,6.2,231.3,10.1,0,0,0,0,95,,,,
16,Britannia Nice Time Biscuit,BRITANNIA,BISCUIT,BISCUIT,"Artificial Flavouring Substances Coconut, Artificial Flavouring Substances VANILLA CAKE, Coconut Products (4.5%), Edible Maize Starch, Emulsifiers 322(i), Emulsifiers 471, Emulsifiers 472e, Iodised Salt, Invert Sugar Syrup, Milk Solids, Raising Agents 503(ii),  Raising Agents 500(ii),  Raising Agents450(i), Refined Palm Oil, Refined Wheat Flour (Maida), and Sugar",100,463,76,6,15,8,0,30.5,274,0,0,0,0,0,25,,,,
17,Britannia Good Day Pista Badam Cookies,BRITANNIA,BISCUIT,COOKIES,"Refined Wheat Flour (Maida), Sugar, Edible Vegetable Oil, Cashew, Almonds, Pista, Milk Solids, Butter, Iodised Salt, Nature Identical and Artificial Flavouring Substances- VANILLA CAKE",100,512,67,7,24,11,0,22,0,0,2,0,0,0,25,,,,
18,Sunfeast Cheese Wowzers,SUNFEAST,BISCUIT,CRACKER,"MAIDA (REFINED WHEAT FLOUR),SUGAR, INTERESTERIFIEDVEGETABLE FAT, MILK SOLIDS,MILK SOLIDS,MALTODEXTRIN, SALT, REFINED PALM OIL CHEESE POWDER(0.05%),ANTICAKING AGENT (INS 551), STABILIZER (INS 339(ii)),FLAVOUR ENHANCER (INS 635),SPICE EXTRACTI, IODIZED SALT,EMULSIFIER [LECITHIN (FROM SOYABEAN), POLYGLYCEROLESTERS OF INTERESTERIFIED RICINOLEIC ACID (FROM CASTOR OIL)I, NATURE IDENTICAL FLAVOURING SUBSTANCES, REFINED PALM OIL SUGAR, REFINED PALMOLEIN, MARGARINE, LIQUID GLUCOSE, STARCH, WHEAT GLUTEN, RAISING AGENTS INS 503(1),RAISING AGENTS INS 500(i), IODIZED SALT, MALT EXTRACT, MILK SOLIDS, ARTIFICIAL FLAVOURING SUBSTANCES (CHEESE), DRIED YEAST, EMULSIFIER [MONO AND DIGLYCERIDES OF FATTY ACIDS (FROM PALM OIL)], NATURE IDENTICAL FLAVOURING SUBSTANCES, FLOUR TREATMENT AGENT (INS 223).",100,509,65.4,9.1,23.8,12,0.1,19.3,419.5,0,0.2,0,0,0,60,,,,
19,Ragi Kaju Pista Cookies,LET'S TRY,BISCUIT,COOKIES,"Artificial Flavouring Substances Butter, Artificial Flavouring Substances Cashew, Brown Sugar, Cashew, Corn Flour, Glucose, Honey, Hydrogenated Vegetable Fat, Milk Solids, Pistachios, Raising Agent (INS 503), Ragi Flour, and Wheat Flour",100,488.55,63.38,9.55,21.87,10.72,0.01,13.57,61.78,4.66,1,0,0,0,220,,,,
20,Britannia Little Hearts Classic Crunch Biscuits,BRITANNIA,BISCUIT,BISCUIT,"Edible Vegetable Oils (Palm), Emulsifier (322), Iodised Salt, Milk Solids, Raising Agents 500(Ii),Raising Agents 503(Ii), Refined Wheat Flour (Maida), Sugar (23%), and Yeast",100,486,70,7.4,19.5,9.4,0,24,309,0,0,0,0,0,30,,,,
21,Britannia Good Day Butter Jeera Cookies,BRITANNIA,BISCUIT,COOKIES,"Butter (1.4%), Emulsifiers 322(i), Emulsifiers 471 ,Emulsifiers  472e, Iodised Salt, Invert Sugar Syrup, Milk Solids, Natural And Nature-Identical Flavoring Substances, Raising Agents 500(ii), Raising Agents 503(ii) , Raising Agents  450(i), Refined Palm Oil, Refined Wheat Flour (Maida), Cumin 2.4% ,Ajwain, Sugar",100,506,68.2,6.4,23.1,11.5,0,20.8,592,0,4.2,0,0,0,200,,,,
22,UNIBIC Choco Chip Cookies,UNIBIC,BISCUIT,COOKIES,"Refined Wheat Flour (Maida), Sugar, Chocolate Chips (21%), Edible Vegetable Oil (Palm), Desiccated Coconut, Butter, Milk Solids, Leavening Agents INS 500(ii),Leavening Agents INS 503(ii), Iodised Salt, Emulsifier INS 322 From Soy,  Nature Identical and Artificial Flavouring Substances Butter, Nature Identical and Artificial Flavouring Substances  Vanillin, Nature Identical and Artificial Flavouring Substances Chocolate",100,471,68,5.8,19.5,12.2,0,28,213,0,0,0,0,0,30,,,,
23,Britannia Milk Bikis Biscuits,BRITANNIA,BISCUIT,BISCUIT,"Refined Wheat Flour (Maida), Sugar, Refined Oil, Invert Sugar Syrup, Raising Agents, Milk Solids, Iodised Salt, Vitamins, Calcium Salt, Nature and Artificial Flavour- Milk",100,500,68.5,7,22,12.9,0,30.2,204,0,0,100,0,0,55,,,,
24,Sunfeast Baked Creations Walnut & Choco Chip Cookies,SUNFEAST,BISCUIT,COOKIES,"Dark Chocolate Chips (26.7%), Sugar, Cocoa Solids, Cocoa Butter, Dextrose, Emulsifier (Lecithin (from Soyabean)), Artificial Flavouring Substances (VANILLA CAKE), Maida (Refined Wheat Flour), Hydrogenated Vegetable Oil, Oats Flour, Sugar, Walnut Bits (8.5%), Choco Creme (3.9%), Rolled Oats, Refined Palm Oil, Butter, Milk Solids, Raising Agents INS 500(ii),Raising Agents INS 503(ii),Raising Agents INS 450(i), Emulsifier (Mono and Diglycerides of Fatty Acids (from Palm Oil)), Artificial Flavouring Substances Chocolate, Artificial Flavouring Substances Cocoa, Artificial Flavouring Substances  Sweet, Artificial Flavouring Substances  VANILLA CAKE, Iodized Salt, Colour (INS 150a)",100,535,57.9,7.4,31,15.4,0.1,29,491.4,0,4.7,0,0,0,150,,,,
25,"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies",MAX PROTEIN,BISCUIT,COOKIES,"Almond Bits (8%), Antioxidant (Rosemary Extract), Binding Agents Xanthan Gum,Binding Agents Gum Acacia, Cocoa Powder, Dietary Fiber (Fructo-oligosaccharide), Emulsifiers (Soy Lecithin), Humectant (Glycerine), Leavening Agent (Baking Powder), Millets,Wheat Flour, Corn Flour, Oats Flour, Ragi Flour, Quinoa Flour, Amaranth Puffs, Roasted Chick Pea Flour, High Protein Peanut Flour, Wheat Protein, Soy Protein Isolate, Whey Protein Concentrate, Psyllium Husk, Rice Bran Oil, Salt, Sweetener (Sucralose),  Tricalcium Phosphate",100,278,22.1,12,16.3,2.9,0,3.5,176,8,0,325,0,0,60,,,,
26,Britannia Good Day Chunkies Chocochip Cookie,BRITANNIA,BISCUIT,COOKIES,"Butter, Cocoa Solids (0.4%), Dark Chocolate Chips (20%), Cocoa Butter, Cocoa Solids, Dextrose, Emulsifier (INS322(I), Natural Flavouring Substances, Sugar, Emulsifiers INS322(I), Emulsifiers INS 471, Artificial (VANILLA CAKE) Flavouring Substances, Interesterified Vegetable Fat, Invert Sugar Syrup, Liquid Glucose, Milk Chocolate Chips (4%), Cocoa Butter, Cocoa Solids, Dextrose, Emulsifier (INS322(I)), Milk Solids, Milk Solids, Oats Powder, Raising Agents INS341(I),Raising Agents  INS450(I), Raising Agents INS500(II),Raising Agents INS503(II), Refined Wheat Flour (Maida), Sugar, Iodised Salt",100,512,64,68,25.5,13.7,0,31.5,536,0,4,0,0,0,45,,,,
27,Britannia Nutrichoice Almond and Oats Milk Biscuits,BRITANNIA,BISCUIT,BISCUIT,"Almonds (5%), Colour (150d), Emulsifiers 322(i),Emulsifiers 471,Emulsifiers 472e, Artificial (Milk & Butter), Iodised Salt, Invert Sugar Syrup, Liquid Glucose, Maltodextrin, Milk Solids (1.6%), Oats Fibre (0.8%), Raising Agents 500(ii),Raising Agents 503(ii), Raising Agents 450(i], Refined Palm Oil, Rolled Oats (14.3%), Sugar, Wheat Bran (2.4%), Wheat Flour (Atta) (41.7%)",100,478,68.5,8,21,8.6,0,19.5,385,8.4,1.3,0,0,0,25,,,,
28,Orion Mango Choco Pie,ORION,BISCUIT,PIE,"Acidity Regulator (ins 341(i)), Acidity Regulators ins 330,Acidity Regulators ins 334, Choco Covering (21%) ,Cocoa Solids, Emulsifier (ins 322), Hydrogenated Vegetable Fat, Liquid Glucose, Mango Filling (9.3%) ,Acidity Regulators ins 330 ,Acidity Regulators  ins 334, Mango Pulp (40%), Nature-Identical Flavour (mango), Preservatives ins 211,Preservatives ins 202, Stabilizer (ins 415), Sugar, Liquid Glucose, Colour (ins 102), Dextrose, Edible Common Salt, Humectant (ins 422), Hydrogenated Vegetable Fat, Nature Identical Flavour (vanillin), Preservatives ins 202, Preservatives  ins 281, Raising Agents ins 500(ii), Raising Agents ins 503(i), Refined Wheat Flour (maida), Stabilizers ins 407,Stabilizers ins 440,Stabilizers ins 415,Stabilizers  ins 410",100,417,42,10.5,22,8.9,0.05,42,0,18.6,0,0,0,0,90,,,,
29,Sunfeast Baked Creations French Style Butter Delice Cookies,BAKED CREATIONS,BISCUIT,COOKIES,"Maida (refined wheat flour), butter (24.2%), sugar, milk solids, iodized salt, raising agent [503], emulsifier [lecithin (from soybean)]",100,506,65.7,7,24.2,15,0,26.6,640,0,39.9,0,0,0,140,,,,
30,UNIBIC Choco Nut Cookies,UNIBIC,BISCUIT,COOKIES,"Refined Wheat Flour (Maida), Sugar, Edible Vegetable Oil (Palm), Chocolate Chips (5%), Cashew Bits (4%), Cocoa Powder, Milk Solids, Leavening Agents INS 503 ii, Leavening Agents  INS 500 ii, Emulsifier (INS 322 from Soy), Iodised Salt, Artificial Flavouring Substance (Vanillin)",100,464,67,6.5,18.9,11.9,0,25.6,209,0,0,0,0,0,30,,,,
31,UNIBIC Cashew Badam Cookies,UNIBIC,BISCUIT,COOKIES,"Artificial Flavouring Substances Saffron,Artificial Flavouring Substances Cashew, Artificial Flavouring Substances Almond ,Artificial Flavouring Substances Milk, Dry Nuts (1%) (Almond and Cashew), Edible Vegetable Oil (Palm), Emulsifiers INS 322 from Soy,Emulsifiers  INS 472e, Golden Syrup, Iodised Salt, Leavening Agents INS 503(ii), Leavening Agents INS 500(ii), Milk Solids, Refined Wheat Flour (Maida), Sugar",100,487,66,5.5,22.3,10,0,26,195,0,0,0,0,0,135,,,,
32,Britannia Nutrichoice Oats Orange & Almond Biscuits,BRITANNIA,BISCUIT,BISCUIT,"Almonds (3%), Butter, Colour (150D), Emulsifiers 322(i),Emulsifiers  471, Emulsifiers 472e, Iodised Salt, Invert Sugar Syrup, Liquid Glucose, Maltodextrin, Milk Solids, Natural and Nature Identical Flavouring Substances, Oats Fibre (0.8%), Orange Peel (0.5%), Orange Powder (0.1%), Raisins, Raising Agents 500(Ii),Raising Agents 503(Ii) ,Raising Agents 450(I), Refined Palm Oil, Rolled Oats (14%), Sugar, Wheat Bran (2.3%), Wheat Flour (Atta) (41.5%)",100,471,70.3,7.8,19.4,8.5,0,15.6,351,8,2.5,0,0,0,25,,,,
33,Dukes Nice Biscuits,DUKES,BISCUIT,BISCUIT,"Refined Wheat Flour (Maida), Sugar, Refined Palm Oil, Sprinkled Sugar (4.7%), Desiccated Coconut (3.8%), Invert Syrup, Milk Solids, Raising Agent 503(ii),Raising Agent 500(ii), Iodized Salt, Emulsifiers 471, Emulsifiers  322",100,453.4,73.6,7.4,14.4,7.5,0,28.2,0,0,0,0,0,0,35,,,,
34,Parle Hide & Seek Cafe Mocha Cookies,PARLE,BISCUIT,COOKIES,"Artificial Flavouring Substances - VANILLA CAKE, Chocolate (21%) [Cocoa Butter, Cocoa Solids, Dextrose, Emulsifier Of Vegetable Origin (Soya Lecithin), Sugar], Coffee and Chicory Mixture (1%), Emulsifier Of Vegetable Origin (Diacetyltartaric and Fatty Acid Esters Of Glycerol), Invert Sugar Syrup, Iodised Salt, Raising Agents 500(Ii), Raising Agents  503(Ii), Refined Palm Oil, Refined Wheat Flour (Maida),  Sugar",100,478,73.6,5.8,17.8,9.2,0,32,142,0,0,0,0,0,125,,,,
35,UNIBIC Fruit & Nut cookie,UNIBIC,BISCUIT,COOKIES,"Butter, Date Syrup, Dry Fruits (8%) ,Blackcurrant, Papaya Cubes, Sugar, Acidity Regulator (INS 330)}, Cranberry, Edible Vegetable Oil (Palm), Emulsifier (INS 322 from Soy), Iodised Salt, Leavening Agents  INS 503(ii),Leavening Agents  INS 500(ii), Liquid Glucose, Milk Solids, Nuts (4%) , Cashew Bits, Almond Bits, Refined Wheat Flour (Maida), Clove and Nutmeg, Sugar",100,448.6,63,6.4,19,8.6,0,24,209,0,0,0,0,0,165,,,,
36,Cadbury Chocobakes ChocoChip Cookies,OREO,BISCUIT,COOKIES,"Refined wheat flour (maida), milk chocolate chips, sugar, cocoa butter, milk solids, cocoa solids, dextrose, emulsifiers (442),  natural identical and artificial VANILLA CAKE ,natural identical and artificial caramel , palmolein, invert sugar, raising agents 503(ii), raising agents 500(ii),  raising agents 450(i), iodised salt, emulsifier (322)",100,466,69.3,7.2,18,8.9,0.1,31.2,305,0,2,0,0,0,40,,,,
37,Mom's Magic Rich Cashew Almond Cookies | Mom's Favorite Baked Cookies,SUNFEAST,BISCUIT,COOKIES,"Almond Flakes (1.9%), Butter, Cashew Bits (2.6%), Edible Common Salt,  Emulsifiers INS 471, Emulsifiers INS 322(i),Emulsifiers INS 472e, Flour Treatment Agent (INS 223), Invert Syrup, Milk Solids, Raising Agents Raising Agents INS 500(ii), Raising Agents INS 450(ii), Refined Palm Oil, Refined Wheat Flour (Maida),  Sugar",100,503,66.4,7.8,22.9,10.3,0,22.8,0,0,0,0,0,0,150,,,,
38,Britannia NutriChoice Chocolate and Almond Oats Biscuits,BRITANNIA,BISCUIT,BISCUIT,"Almond (1.6%), Butter, Chocolate Chips (8%) ,Cocoa Butter, Cocoa Solids, Dextrose, Sugar, Emulsifiers INS 322(I),Emulsifiers  INS 471,Emulsifiers  INS 472E,  Artificial Flavours - Chocolate,Artificial Flavours - Milk, Iodised Salt, Liquid Glucose, Maltodextrin, Milk Solids, Oats Fibre (1.6%), Raising Agents INS450,Raising Agents  INS500(1),Raising Agents  INS 503(11), Refined Palm Oil, Refined Wheat Flour (Maida), Rolled Oats (15%), Sugar, Wheat Bran, Wheat Flour (Atta) (18%)",100,490,68.3,7.2,22.5,10.6,0,21.7,376,0,4.1,0,0,0,25,,,,
39,Parle Happy Happy choco chip cookies,PARLE,BISCUIT,COOKIES,"Artificial Flavouring Substances - Chocolate, Choco Chips (8%) ,Sugar, Edible Vegetable Fat (Hydrogenated Oils), Cocoa Solids, Dextrose, Emulsifier of Vegetable Origin (Soya Lecithin) , Artificial Flavouring Substances (VANILLA CAKE), Cocoa Solids (2%), Emulsifier of Vegetable Origin (472e), Invert Sugar Syrup, Iodised Salt, Permitted Natural Food Colour (150d), Raising Agents 503(ii),Raising Agents 500(ii), Refined Palm Oil, Refined Wheat Flour (Maida), and Sugar",100,489,71.3,5.8,20.1,10.6,0,30.6,197,0,0,0,0,0,150,,,,
40,Malkist Cheese Crunchy Layered Crackers,MALKIST,BISCUIT,CRACKER,"Refined Wheat Flour, Edible Vegetable Oil (Palmolein Oil-contains Antioxidant (BHA), Sugar (15.8%), Whey Powder, Glucose Syrup, Milk Solids (1.67%) (SMP), Cheese Powder (Cheese, Maltodextnn) (1.62%), Tapioca Starch, Leavening Agent E503(), Leavening Agent E500(ij), Edible Common Salt, Bakers Yeast, Malt Extract (0.42%), Butter, Emulsifier (Soy Lecithin E322)), Emulsifier Vitamin Premix (Thiamine Mononitrate), Emulsifier Riboflavin, Emulsifier Pyridoxine Hydrochlonde, Emulsifier Cyanocobalamin, Permitted Synthetic Food Colour E102,Permitted Synthetic Food Colour  E110, Artificial Flavouning Substance (Cheese)",100,488,66.4,7.6,21.3,14.2,0,21.3,527,0,2.2,0,"Vitamin B1 (mg) 0.50 (RDA 6%), Vitamin B2 (mg) 0.27 (RDA 3%), Vitamin B6 (mg) 0.34 (RDA 3%), Vitamin B12 (mg) 0.75 (RDA 14%)",0,60,,,,
41,Karachi Bakery Osmania Biscuits,KARACHI BAKERY,BISCUIT,BISCUIT,"Farine De Blé Raffinée (Refined Wheat Flour), Graisses Végétales Hydrogénées (Palm) (Hydrogenated Vegetable Fats), Lait Et Solides De Lait (Milk, Milk Solids), Sel (Salt), Sucrose (Sugar)",100,310,42,4,32,16,0,8,671,6,0,0,0,2,190,,,,
42,UNIBIC Biscot Caramel Atta Biscuit,UNIBIC,BISCUIT,BISCUIT,"Whole Wheat Flour (Atta), Sugar, Edible Vegetable Oil (Palm), Candy Sugar Syrup (5%) ,Sugar, Milk Solids, Glucose Syrup, Raising Agents Ins 500 Ii, Raising Agents  Ins 503 Ii, Emulsifier (Ins 322 From Soy), Iodised Salt, Natural Food Colour (Ins 150D), Flavour (Nature Identical and Artificial Flavouring Substance) (Caramel), Cinnamon Powder (0.1%)",100,470,71,6,18,10.5,0,30,240,0,0,0,0,0,140,,,,
43,Haldirams Cookie Heaven Badam Pista Cookies,HALDIRAMS,BISCUIT,COOKIES,"Refined Wheat Flour (Maida) (44.4%), Hydrogenated Vegetable Oil Palm,  Hydrogenated Vegetable Oil Soyabean, Hydrogenated Vegetable Oil  Sunflower,  Hydrogenated Vegetable Oil Sesame, Sugar, Almonds (4.2%), Milk Solids, Pistachio (14%), VANILLA CAKE  Flavour, Saffron Flavour, Acidity Regulators (Ammonium Bicarbonate (E503(I)), Sodium Bicarbonate (E500(i)), Iodized Salt, Emulsifier (Soya Lecithin (E322(i))), Cardamom Powder, Permitted Food Colour (FDSC YELLOW NO 5 & 6)",100,549,56.2,9.5,31.8,20.2,0,4,122.7,<1,0,0,0,0,110,,,,
